 Your current location,Your Preferred location to buy property, Type of property ,Size of property , Budget for property ,facilities or aminities ,finance 
Pune,Pimple Saudagar,Residential,2000 sqft,50 lakh,Parking;Swimming pool;Security,Bank loan
Pirangut ,Pimple Saudagar,Commercial shop,1000 sqft,25 lakh,Parking,Bank loan
Kalewadi,Punawale,Residential,1000 sqft,50 lakh,Parking;Swimming pool;Gym;Security;,Bank loan
Bavdhan ,Pashan,Residential,1000 sqft,25 lakh,Parking;Security,Self funding
Pune,Baner,Residential,1000 sqft,75 lakh,Parking;Swimming pool;Gym;Security,Bank loan
Pune ,Pimple Saudagar,Commercial shop,1000 sqft,75 lakh,Parking;Swimming pool;Gym;Security,Bank loan
Pimpri,Pimple Saudagar,Commercial shop,2000 sqft,75 lakh,Parking;Security,Bank loan
Bavdhan,Punawale,Row House,2000 sqft,1 Cr,Parking;Swimming pool;Gym;Security,Bank loan
Pune ,Karvenagar,Residential,2000 sqft,75 lakh,Parking;Security,Mortgage
Kalewadi,Kiwale,Residential,1500 sqft,75 lakh,Parking;Security,Bank loan
Pune ,Aundh,Residential,2000 sqft,1.5 Cr,Swimming pool,Bank loan
Pune,Kiwale,Residential,2000 sqft,75 lakh,Parking;Gym;Security,Bank loan
Pune ,Karvenagar,Commercial shop,1000 sqft,1.5 Cr,Parking,Bank loan
Pune,Kiwale,Rental,1000 sqft,25 lakh,Parking,Self funding
Pune ,Baner,Commercial shop,3000 sqft,1.5 Cr,Parking,Bank loan
Chinchwad,Pimple Saudagar,Commercial shop,1500 sqft,75 lakh,Parking;Security,Bank loan
Pune,Pimple Saudagar,Commercial shop,1000 sqft,1 Cr,Parking,Bank loan
Pimpari,Kiwale,Residential,1500 sqft,50 lakh,Parking;Gym;Security,Bank loan
Chinchwad,Karvenagar,Residential,1500 sqft,75 lakh,Parking;Gym;Security,Self funding
Pimpri,Baner,Commercial shop,1500 sqft,75 lakh,Parking;Security,Bank loan
Rahatani ,Pimple Saudagar,Residential,1500 sqft,1 Cr,Parking;Gym;Security,Bank loan
Pimple saudagar ,Kiwale,Residential,1500 sqft,75 lakh,Parking;Gym;Security,Bank loan
Kalewadi,Pashan,Residential,1500 sqft,75 lakh,Parking;Gym;Security,Bank loan
Kalewadi ,Aundh,Residential,1500 sqft,75 lakh,Parking;Security,Bank loan
